                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.72557,                0.42576,                0.99024,                0.86269,                0.78153,                0.84868,                0.55873,                 1.1771,                0.64228,                  1.399,              0.0001487,              0.0001487,              0.0001487
                    140,                0.71917,                0.42588,                0.98386,                0.86562,                0.78036,                0.84311,                0.56108,                 1.1824,                0.63379,                 1.3998,             0.00013769,             0.00013769,             0.00013769
                    141,                0.71014,                0.41295,                0.97672,                0.86494,                0.79286,                0.84989,                 0.5594,                 1.1758,                0.63552,                 1.4039,             0.00012669,             0.00012669,             0.00012669
                    142,                0.70997,                0.41478,                0.98034,                0.86688,                0.77984,                0.84682,                0.55936,                 1.1861,                0.62594,                 1.4051,             0.00011569,             0.00011569,             0.00011569
                    143,                0.70583,                0.41877,                0.97255,                0.86698,                0.77857,                0.84717,                0.55539,                 1.1868,                0.63203,                 1.4082,             0.00010469,             0.00010469,             0.00010469
                    144,                0.70972,                0.41579,                0.97807,                 0.8854,                0.75774,                0.84623,                0.55532,                 1.1819,                0.63856,                 1.4013,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.69683,                0.41084,                0.96728,                0.87944,                0.76667,                0.84653,                0.55465,                 1.1825,                0.64478,                  1.405,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.68895,                0.40896,                0.97671,                0.86057,                0.78199,                0.84483,                0.55645,                 1.1774,                 0.6373,                 1.3994,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                 0.6849,                0.40595,                0.96424,                0.86003,                0.77857,                0.84334,                0.55813,                 1.1708,                0.63456,                 1.3902,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                 0.6999,                0.40579,                0.97087,                  0.872,                0.77028,                0.84813,                0.55659,                 1.1754,                0.63493,                 1.3916,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.68757,                0.40382,                0.97098,                0.86653,                0.77442,                0.84853,                0.56008,                  1.173,                0.63127,                 1.3914,             3.8674e-05,             3.8674e-05,             3.8674e-05
